Simulation,Trial
1.0,2.0
2.0,3.0
3.0,6.0
4.0,3.0
5.0,2.0
6.0,7.0
7.0,3.0
8.0,5.0
9.0,4.0
10.0,6.0
11.0,5.0
12.0,3.0
13.0,2.0
14.0,5.0
15.0,3.0
16.0,3.0
17.0,3.0
18.0,2.0
19.0,3.0
20.0,3.0
21.0,2.0
22.0,5.0
23.0,4.0
24.0,3.0
25.0,3.0
26.0,2.0
27.0,3.0
28.0,3.0
29.0,3.0
30.0,4.0
31.0,4.0
32.0,3.0
33.0,3.0
34.0,3.0
35.0,2.0
36.0,2.0
37.0,3.0
38.0,5.0
39.0,8.0
40.0,3.0
41.0,6.0
42.0,6.0
43.0,3.0
44.0,3.0
45.0,3.0
46.0,3.0
47.0,4.0
48.0,2.0
49.0,2.0
50.0,3.0
51.0,3.0
52.0,2.0
53.0,3.0
54.0,3.0
55.0,2.0
56.0,5.0
57.0,5.0
58.0,8.0
59.0,4.0
60.0,3.0
61.0,4.0
62.0,6.0
63.0,2.0
64.0,2.0
65.0,3.0
66.0,4.0
67.0,3.0
68.0,4.0
69.0,4.0
70.0,3.0
71.0,2.0
72.0,2.0
73.0,2.0
74.0,8.0
75.0,4.0
76.0,5.0
77.0,3.0
78.0,5.0
79.0,2.0
80.0,2.0
81.0,2.0
82.0,4.0
83.0,3.0
84.0,3.0
85.0,6.0
86.0,3.0
87.0,5.0
88.0,7.0
89.0,4.0
90.0,5.0
91.0,6.0
92.0,5.0
93.0,8.0
94.0,4.0
95.0,2.0
96.0,4.0
97.0,3.0
98.0,6.0
99.0,2.0
100.0,2.0
